,Date,Year,Country,Sex,Injury,Fatal,ACTIVITY,AGE
1551,05-Sep-2005,2005,USA,F,Calf severely lacerated,N,wading,18
1552,04-Sep-2005,2005,AUSTRALIA,M,Lacerations to right arm & thigh,N,surfing,40
1553,02-Sep-2005,2005,USA,M,Right foot bitten,N,standing,62
1554,02-Sep-2005,2005,THAILAND,M,FATAL PROVOKED INCIDENT,Y,removing,21
1555,24-Aug-2005,2005,AUSTRALIA,M,FATAL,Y,diving,23
1556,24-Aug-2005,2005,USA,M,Lower right leg lacerated,N,surfing,37
1557,22-Aug-2005,2005,USA,M,"Laceration to knee, possibly by a  small blacktip shark",0,boarding,17
1558,21-Aug-2005,2005,USA,M,Bitten underneath left arm,N,swimming,0
1559,19-Aug-2005,2005,USA,M,Left foot bitten,N,walking,12
1560,14-Aug-2005,2005,SOUTH AFRICA,0,Human foot recovered from the water,0,0,0
1561,12-Aug-2005,2005,USA,M,Laceration on right wrist & crescent of puncture wounds on  forearm ,N,surfing,16
1562,6-Aug-2005,2005,USA,M,Puncture wounds on left foot ,N,swimming,14
1563,1-Aug-2005,2005,Seychelles,M,"FATAL, shark involvement prior to death is unconfirmed",0,fishing,0
1564,27-Jul-2005,2005,USA,F,Laceration on the back of left hand & toothmarks on wrist,N,wading,13
1565,23-Jul-2005,2005,USA,M,"Right foot: Toes and back of foot, minor injury",N,surfing,61
1566,22-Jul-2005,2005,USA,M,"Straight 2.5"" laceration on top of left ankle",0,surfing,25
1567,17-Jul-2005,2005,LIBERIA,M,Presumed to have drowned until his body washed ashore 2 weeks later with shark bites,0,swimming,0
1568,17-Jul-2005,2005,CHINA,M,2 small cuts on right ear & head when he collided with the captive shark. PROVOKED INCIDENT,N,diving,24
1569,Reported      15-Jul-2005,2005,AUSTRALIA,0,"A hoax - No shark was involved and Wells' ""daughter"" was his business partner Eileen Purchase who injured her finger on his boat",0,0,0
1570,15-Jul-2005,2005,USA,M,Lacerations of left forearm,N,swimming,22
1571,13-Jul-2005,2005,USA,F,Left foot bitten,N,holding,14
1572,1-Jul-2005,2005,USA,M,Ankle bitten,N,standing,19
1573,27-Jun-2005,2005,USA,M,"Leg severely bitten, surgically amputated",N,fishing,16
1574,25-Jun-2005,2005,USA,F,"FATAL, leg bitten",Y,swimming,14
1575,22-Jun-2005,2005,VANUATU,F,FATAL,Y,swimming,0
1576,20-Jun-2005,2005,MEXICO ,M,Left foot bitten,N,surfing,0
1577,18-Jun-2005,2005,USA,M,"No injury, 2.1m [7'] tiger shark approached swimmer who repelled it with his fist",0,swimming,49
1578,16-Jun-2005,2005,USA,M,Foot bitten,N,swimming,20
1579,13-Jun-2005,2005,SOUTH KOREA,F,Knee bitten,N,diving,38
1580,07-Jun-2005,2005,USA,F,Foot lacerated,N,boarding,11
1581,05-Jun-2005,2005,USA,M,Dorsum of foot/ankle  injured by surfboard skeg or other inanimate object.,0,surfing,17
1582,04-Jun-2005,2005,SOUTH AFRICA,M,FATAL,Y,spearfishing,22
1583,02-Jun-2005,2005,USA,M,Two 2-inch lacerations on right foot,N,wading,0
1584,28-May-2005,2005,USA,M,Left foot bitten,N,swimming,33
1585,27-May-2005,2005,USA,F,Right arm & torso bitten,N,crouching,0
1586,25-May-2005,2005,SOUTH AFRICA,M,Left buttock  & legs lacerated ,N,surfing,32
1587,15-May-2005,2005,AUSTRALIA,M,Severe injury to lower leg,N,spearfishing,0
1588,14-May-2005,2005,USA,0,"No injury, shark bit kayak",N,kayaking,0
1589,03-May-2005,2005,MADAGASCAR,M,Thigh bitten,N,fishing,0
1590,02-May-2005,2005,USA,M,No injury,N,0,0
1591,02-May-2005,2005,USA,M,"No injury, board damaged",N,surfing,47
1592,25-Apr-2005,2005,AUSTRALIA,M,Laceration on left thigh PROVOKED INCIDENT,N,fishing,25
1593,17-Apr-2005,2005,AUSTRALIA,0,Shark-bitten surfboard found adrift,N,0,0
1594,16-Apr-2005,2005,AUSTRALIA,M,Minor cuts above his right eye,N,spearfishing,20
1595,16-Apr-2005,2005,AUSTRALIA,M,"No injury, board bitten",N,surfing,40
1596,13-Apr-2005,2005,USA,F,Right lower leg bitten,N,wading,70
1597,09-Apr-2005,2005,USA,M,Foot injured ,0,surfing,52
1598,07-Apr-2005,2005,USA,M,Left foot bitten ,N,surfing,37
1599,06-Apr-2005,2005,USA,F,Left calf injured,N,0,0
1600,06-Apr-2005,2005,HONDURAS,F,"Laceration on siide of calf, small laceration on thigh, large bruise on other leg inside the knee, knuckle of hand abraded",0,diving,0
1601,28-Mar-2005,2005,SOUTH AFRICA,M,"Lacerations to right calf, puncture wounds on right foot",N,surfing,32
1602,Reported    27-Mar-2005,2005,AUSTRALIA,M,"No injury, shark rammed surfboard",N,surfing,0
1603,25-Mar-2005,2005,VENEZUELA,M,Right leg bitten,N,surfing,0
1604,19-Mar-2005,2005,AUSTRALIA,M,FATAL,Y,snorkeling,26
1605,12-Mar-2005,2005,USA,M,2 punctures on forearm as captive shark collided with diver PROVOKED INCIDENT,N,diving,45
1606,10-Mar-2005,2005,SOUTH AFRICA,M,Bites by 2.5 m tiger shark were post mortem,0,0,51
1607,09-Mar-2005,2005,NEW ZEALAND,M,"No injury, netted shark dragged them 350 metres out to sea PROVOKED INCIDENT",N,fishing,0
1608,05-Mar-2005,2005,SOLOMON ISLANDS,M,Thighs bitten,N,diving,0
1609,26-Feb-2005,2005,AUSTRALIA,M,Finger bitten,N,swimming,18
1610,22-Feb-2005,2005,USA,M,Speared shark bit his chest PROVOKED INCIDENT,N,spearfishing,0
1611,16-Feb-2005,2005,USA,M,"No injury, knocked off board, shark bit board",N,surfing,0
1612,13-Feb-2005,2005,USA,M,Hand bitten,N,spearfishing,0
1613,04-Feb-2005,2005,BRAZIL,M,Right thigh & ankle injured,N,surfing,12
1614,20-Jan-2005,2005,CUBA,M,Left foot severed,N,swimming,19
1615,19-Jan-2005,2005,AUSTRALIA,M,No injury. Towed by speared shark PROVOKED INCIDENT,N,spearfishing,0
1616,14-Jan-2005,2005,AUSTRALIA,0,"No injury to occupants, one of the boat's flotation tanks holed PROVOKED INCIDENT",N,attempting,0
1617,08-Jan-2005,2005,NEW ZEALAND,M,"No injury, kayak bumped repeatedly",N,fishing,39
1618,26-Dec-2004,2004,SRI LANKA,F,No injury,0,0,11
1619,16-Dec-2004,2004,AUSTRALIA,M,FATAL,Y,scurfing,18
1620,11-Dec-2004,2004,AUSTRALIA,M,"FATAL, leg bitten",Y,spearfishing,38
1621,27-Nov-2004,2004,SOUTH AFRICA,M,3 lacerations on foot,N,surfing,20
1622,26-Nov-2004,2004,SOUTH AFRICA,M,Lacerations on lower leg & foot,N,playing,16
1623,15-Nov-2004,2004,SOUTH AFRICA,F,FATAL,Y,swimming,77
1624,11-Nov-2004,2004,USA,0,"Lacerations to hand, knee & thigh ",N,surfing,38
1625,11-Nov-2004,2004,VANUATU,M,Thigh bitten,N,snorkeling,30
1626,Nov-2004,2004,NEW CALEDONIA,0,Forearm bitten,N,diving,0
1627,31-Oct-2004,2004,CUBA,M,Left forearm bitten,N,diving,40
1628,30-Oct-2004,2004,NEW ZEALAND,0,No injury,0,0,0
1629,30-Oct-2004,2004,SOUTH AFRICA,M,Right ankle & foot lacerated,N,chumming,52
1630,21-Oct-2004,2004,AUSTRALIA,M,Right foot lacerated,N,surfing,59
1631,10-Oct-2004,2004,USA,M,Lower leg bitten,N,surfing,0
1632,09-Oct-2004,2004,USA,M,Left shoulder bitten,N,spearfishing,34
1633,09-Oct-2004,2004,SOUTH AFRICA,M,Puncture wounds on right foot,N,surfing,34
1634,06-Oct-2004,2004,REUNION,M,"Leg severely bitten, surgically amputated",N,boarding,15
1635,02-Oct-2004,2004,USA,M,"No injury, knocked off surfboard",N,surfing,16
1636,01-Oct-2004,2004,USA,M,"No injury, shark struck board & spun it around",N,surfing,40
1637,25-Sep-2004,2004,AUSTRALIA,0,"No injury to occupants, boat damaged",N,spearfishing,0
1638,20-Sep-2004,2004,USA,M,Leg bitten,N,surfing,26
1639,10-Sep-2004,2004,USA,M,Minor scratch on calf,0,fishing,0
1640,08-Sep-2004,2004,BRAZIL,0,FATAL,Y,swimming,0
1641,04-Sep-2004,2004,USA,F,Left knee & leg bitten,N,jumping,17
1642,29-Aug-2004,2004,USA,F,Heel bitten,N,walking,38
1643,21-Aug-2004,2004,BRAZIL,M,Calf bitten & both hands injured,N,bathing,24
1644,20-Aug-2004,2004,USA,M,Foot bitten,N,surfing,0
1645,15-Aug-2004,2004,USA,M,FATAL,Y,diving,50
1646,06-Aug-2004,2004,USA,M,"Back, buttocks, left hand & left side of face bitten",N,swimming,47
1647,03-Aug-2004,2004,AUSTRALIA,M,Minor puncture wounds to leg,N,spearfishing,30
1648,Aug-2004,2004,SOUTH AFRICA,0,No injury to occupants; boat damaged,N,fishing,0
1649,31-Jul-2004,2004,USA,F,Right foot bitten,N,surfing,20
1650,30-Jul-2004,2004,RUSSIA,M,Thigh & calf bitten,N,diving,0
1651,28-Jul-2004,2004,USA,F,Right calf bitten,N,surfing,28
1652,27-Jul-2004,2004,USA,F,Right forearm & wrist lacerated,N,swimming,13
1653,27-Jul-2004,2004,USA,F,Right foot bitten,N,swimming,19
1654,25-Jul-2004,2004,USA,M,Right forearm nearly severed and bites above & below the right knee,N,wading,11
1655," 19-Jul-2004 Reported to have happened  ""on the weekend""",2004,AUSTRALIA,0,"No injury to occupants; shark mouthed motor, severed anchor line",N,fishing,0
1656,15-Jul-2004 ,2004,JAPAN,M,Suffered broken ribs when the shark's tail fin slammed into his chest,N,fishing,51
1657,10-Jul-2004,2004,AUSTRALIA,M,"FATAL, abdomen, pelvis & leg bitten      ",Y,surfing,30
1658,02-Jul-2004,2004,EGYPT,F,Hand severed,N,snorkeling,0
1659,02-Jul-2004,2004,USA,M,Right foot lacerated,N,wading,0
1660,26-Jun-2004,2004,USA,M,"No injury, shark struck his board",N,surfing,45
1661,26-Jun-2004,2004,AUSTRALIA,M,"No injury, shark made threat displays & diver fended it off with his speargun",0,crayfishing,0
1662,14-Jun-2004,2004,USA,F,Foot bitten,N,diving,0
1663,10-Jun-2004,2004,AUSTRALIA,M,Ankle & foot lacerated,N,boarding,17
1664,10-Jun-2004,2004,USA,M,Right wrist  & left arm lacerated,N,swimming,0
1665,02-Jun-2004,2004,SOUTH AFRICA,M,"FATAL, leg severed ",Y,swimming,21
1666,29-May-2004,2004,USA,M,Puncture wounds on shin,N,wading,16
1667,23-May-2004,2004,BRAZIL,M,"Left hand, foot severed &  left calf & arm bitten",N,swimming,17
1668,28-May-2004,2004,USA,M,No injury,N,surfing,44
1669,23-May-2004,2004,USA,M,Calf & foot lacerated,N,boarding,0
1670,22-May-2004,2004,USA,M,Single puncture wound on the foot,0,swimming,0
1671,22-May-2004,2004,USA,F,Foot bitten,N,0,0
1672,22-May-2004,2004,BRAZIL,F,Hips & thighs bitten,N,wading,24
1673,18-May-2004,2004,BAHAMAS,M,Left forearm bitten PROVOKED INCIDENT,N,diving,63
1674,04-May-2004,2004,USA,M,"No injury, board bitten",N,surfing,28
1675,01-May-2004,2004,BRAZIL,M,FATAL,Y,swimming,22
1676,26-Apr-2004,2004,AUSTRALIA,M,Puncture wounds on wrist,N,diving,0
1677,22-Apr-2004,2004,NEW ZEALAND,0,"No injury to occupants, boat scratched by shark",N,fishing,0
1678,13-Apr-2004,2004, TONGA,M,"Bitten on feet, legs, back & abdomen but survived.  Survivors rescued after  7.5 hours in the water",Y,fishing,0
1679,13-Apr-2004,2004, TONGA,M,"He was was bitten on the arm by small sharks & died, but it was not clear if he died as result of the bite or death resulted from drowing",Y,fishing,0
1680,07-Apr-2004,2004,USA,M,FATAL Severe wound to right thigh & calf,Y,surfing,57
1681,05-Apr-2004,2004,SOUTH AFRICA,M,"Left leg lacerated, right leg severed above the knee ",N,surfing,16
1682,04-Apr-2004,2004,USA,F,"Disappeared, surfboard washed ashore, marks on leash suggested shark involvement ",0,surfing,22
1683,31-Mar-2004,2004,USA,M,Right foot bitten,N,0,26
1684,31-Mar-2004,2004,USA,M,15 puncture wounds on foot,N,surfing,20
1685,29-Mar-2004,2004,BRAZIL,M,"Lower left leg bitten, surgically amputated",N,boarding,22
1686,28-Mar-2004,2004,USA,M,Heel bitten,N,surfing,0
1687,27-Mar-2004,2004,REUNION,M,Right thigh bitten,N,surfing,20
1688,27-Mar-2004,2004,USA,M,Minor lacerations & abrasions on forearm,N,swimming,61
1689,14-Mar-2004,2004,USA,F,Lacerations to left foot,N,snorkeling,0
1690,22-Mar-2004,2004,NEW ZEALAND,M,No injury,N,spearfishing,0
1691,16-Mar-2004,2004,USA,M,"No injury, board bitten",N,surfing,51
1692,06-Mar-2004,2004,AUSTRALIA,M,Shin & calf bitten,N,spearfishing,47
1693,29-Feb-2004,2004,BRAZIL,M,"FATAL, right thigh & hip bitten   ",Y,swimming,29
1694,26-Feb-2004,2004,NEW ZEALAND,M,Thigh lacerated,N,surfing,15
1695,21-Feb-2004,2004,AUSTRALIA,M,Three toes lacerated,N,swimming,0
1696,16-Feb-2004,2004,AUSTRALIA,M,"Disappeared while diving, may have suffered shallow water blackout. Searchers observed large tiger sharks & whaler sharks in the area",0,diving,31
1697,14-Feb-2004,2004,EGYPT,M,FATAL,Y,snorkeling,0
1698,11-Feb-2004,2004,AUSTRALIA,M,Leg bitten,N,snorkeling,22
1699,25-Jan-2004,2004,AUSTRALIA,M,Left leg bitten,N,diving,46
1700,23-Jan-2004,2004,URUGUAY,M,Puncture wounds to dorsum of right foot,N,surfing,21
1701,22-Jan-2004,2004,NEW ZEALAND,M,"No injury, swim fin damaged",0,boarding,0
1702,21-Jan-2004,2004,VENEZUELA,M,Lower back & hand bitten,N,swimming,0
1703,21-Jan-2004,2004,VENEZUELA,M,Right leg bitten,N,spearfishing,40
1704,Reported 15-Jan-2004 ,2004,SOUTH AFRICA,M,"No injury to occupants, stern of ski bitten",N,skiing,0
1705,12-Jan-2004,2004,AUSTRALIA,M,"No injury, swim fin ripped off",N,diving,0
1706,07-Jan-2004,2004,SOUTH AFRICA,M,Foot lacerated,N,surfing,22
1707,03-Jan-2004,2004,NEW ZEALAND,M,"No injury, no attack, shark took fish from back of kayak",0,kayaking,0
1708,03-Jan-2004,2004,EGYPT,0,"No survivors, sharks scavenged on remains",Y,boeing,0
1709,2004,2004,AUSTRALIA,M,No inury,N,surfing,0
1710,31-Dec-2003,2003,SOUTH AFRICA,0,No injury to occupants,N,0,0
1711,26-Dec-2003,2003,USA,M,Knee lacerated,0,swimming,28
1712,13-Dec-2003,2003,USA,M,Foot bitten,N,swimming,13
1713,13-Dec-2003,2003,NEW ZEALAND,M,FATAL,Y,swimming,45
1714,08-Dec-2003,2003,AUSTRALIA,M,"No inury, shark caught leash attached to surfer's ankle & towed him a short distance",N,surfing,36
1715,30-Nov-2003,2003,AUSTRALIA,M,"After biting Halverson, it bit Scott's thigh",N,swimming,0
1716,30-Nov-2003,2003,AUSTRALIA,M,Hand & foot bitten,N,swimming,0
1717,27-Nov-2003,2003,SOUTH AFRICA,M,"Presumed FATAL, severed hand recovered",Y,spearfishing,21
1718,22-Nov-2003,2003,USA,F,Severe abrasion to left lateral calf,N,surfing,35
1719,12-Nov-2003 ,2003,INDIA,M,Left index finger lacerated,N,swimming,35
1720,12-Nov-2003,2003,USA,M,Lacerations to hand,N,surfing,24
1721,06-Nov-2003,2003,EGYPT,M,Hand/elbow injured,N,snorkeling,0
1722,06-Nov-2003,2003,SOUTH AFRICA,0,"No injury to occupants, hull of ski bitten",N,skiing,0
1723,01-Nov-2003,2003,AUSTRALIA,M,Minor lacerations to leg & foot,N,standing,0
1724,Nov-2003,2003,PANAMA,M,Left forearm bitten PROVOKED INCIDENT,N,spearfishing,0
1725,31-Oct-2003,2003,USA,M,Left foot (sole) bitten,N,surfing,18
1726,31-Oct-2003,2003,AUSTRALIA,M,Left ankle & foot lacerated,N,surfing,22
1727,31-Oct-2003,2003,USA,F,Left arm severed below shoulder,N,surfing,13
1728,27-Oct-2003,2003,USA,M,Laceration on right ankle & heel,N,surfing,46
1729,24-Oct-2003,2003,USA,M,Left forearm lacerated,0,snorkeling,56
1730,14-Oct-2003,2003,USA,M,Foot bitten,N,surfing,19
1731,06-Oct-2003,2003,USA,M,"Fatal, drowning or scavenging.  Two hours later his body, with bite marks,  washed ashore.",Y,swimming,0
1732,05-Oct-2003,2003,USA,F,Minor puncture wounds in hand,N,surfing,0
1733,05-Oct-2003,2003,USA,M,5 to 6 lacerations on right foot & ankle,N,surfing,18
1734,05-Oct-2003,2003,USA,M,Left ankle bitten when he stepped on the shark PROVOKED INCIDENT,N,surfing,30
1735,05-Oct-2003,2003,USA,M,Left foot bitten,N,sitting,50
1736,05-Oct-2003,2003,USA,F,"Left thigh abraded, right knee and right index finger injured",N,wading,41
1737,29-Sep-2003,2003,FIJI,M,FATAL abdomen bitten,Y,wading,40
1738,28-Sep-2003,2003,USA,M,Arm lacerated,N,surfing,16
1739,21-Sep-2003,2003,USA,M,Left foot bitten,N,surfing,21
1740,19-Sep-2003,2003,USA,M,Left heel lacerated,N,surfing,19
1741,17-Sep-2003,2003,USA,M,3 puncture wounds on left foot,N,surfing,17
1742,14-Sep-2003,2003,USA,M,Left foot: lacerations on heel and sole,N,surfing,30
1743,14-Sep-2003,2003,SOUTH AFRICA,0,"No injury to occupants, shark bit boat",N,fishing,36
1744,14-Sep-2003,2003,USA,F,Puncture wounds on inner thigh,0,swimming,10
1745,13-Sep-2003,2003,USA,M,Left calf avulsion,N,boarding,18
1746,13-Sep-2003,2003,USA,M,Ankle lacerated,N,standing,15
1747,12-Sep-2003,2003,SOUTH AFRICA,M,"FATAL, left thigh, buttocks, back of spine, abdomen & chest bitten  ",Y,boarding,19
1748,Sep-2003,2003,USA,M,2 lacerations on each side of Achilles tendon,N,fishing,0
1749,29-Aug-2003,2003,USA,M,PROVOKED INCIDENT Hooked shark pulled onboard bit his arm  ,N,fishing,0
1750,19-Aug-2003,2003,USA,F,"FATAL          Hip & upper thigh bitten, femoral artery severed ",Y,swimming,50
1751,12-Aug-2003,2003,USA,M,Left ankle lacerated,0,swimming,31
1752,08-Aug-2003,2003,SOUTH AFRICA,M,"No injury, wetsuit torn & board bitten",N,sitting,16
1753,Reported 26-Jul-2003,2003,AUSTRALIA,M,"No injury, flung into water when shark bit rudder of ski",N,skiing,37
1754,20-Jul-2003,2003,USA,M,Laceration to little finger of  right hand,N,surfing,18
1755,15-Jul-2003,2003,USA,F,Heel & sole of left foot,N,wading,15
1756,10-Jul-2003,2003,BAHAMAS,M,Right thigh bitten,N,spearfishing,58
1757,05-Jul-2003,2003,USA,M,3 puncture wounds on right lateral ankle PROVOKED INCIDENT,N,walking,10
1758,05-Jul-2003,2003,USA,M,Left foot bitten,N,surfing,21
1759,04-Jul-2003,2003,BAHAMAS,M,Left calf bitten,N,spearfishing,39
1760,Jul-2003,2003,USA,M,Laceration to toe,N,spearfishing,0
1761,Late Jul-2003,2003,FRENCH POLYNESIA,M,Leg bitten,N,spearfishing,0
1762,Jul-2003,2003,NEW ZEALAND,M,Chest & buttocks  bitten,N,snorkeling,0
1763,30-Jun-2003,2003,USA,M,Right foot & toes lacerated,N,surfing,17
1764,26-Jun-2003,2003,USA,M,Ankle lacerated,N,surfing,15
1765,24-Jun-2003,2003,BRAZIL,M,FATAL,Y,0,0
1766,24-Jun-2003,2003,USA,F,2 lacerations to the thigh,N,standing,12
1767,24-Jun-2003,2003,USA,M,Right foot bitten,N,swimming,60
1768,22-Jun-2003,2003,USA,M,Left leg bitten,N,swimming,51
1769,19-Jun-2003,2003,USA,M,Hand bitten ,N,surfing,33
1770,08-Jun-2003,2003,USA,0,6 puncture wounds to left ankle,N,surfing,15
1771,Jun-2003,2003,USA,F,Foot lacerated,0,swimming,22
1772,25-May-2003,2003,USA,M,Left foot lacerated,N,surfing,18
1773,14-May-2003,2003,USA,M,Left foot bitten,N,wading,22
1774,10-May-2003,2003,USA,M,Right calf & heel bitten,N,swimming,20
1775,07-May-2003,2003,USA,M,Multiple bites to foot after jumping off surfboard onto shark PROVOKED INCIDENT,N,surfing,34
1776,03-May-2003,2003,USA,F,Laceration to right lower leg,N,walking,0
1777,May-2003,2003,PHILIPPINES,0,Arm severed,N,0,0
1778,26-Apr-2003,2003,BRAZIL,M,Shallow  lacerations to left  thigh PROVOKED INCIDENT,N,killing,0
1779,25-Apr-2003,2003,BRAZIL,M,Bitten on finger,N,swimming,16
1780,23-Apr-2003,2003,BRAZIL,M,"Hand & foot lacerated,  lower left leg severely bitten, necessitating surgical amputation",N,surfing,17
1781,23-Apr-2003,2003,BRAZIL,M,Right hand lacerated,N,swimming,0
1782,21-Apr-2003,2003,USA,M,Right leg bitten,N,surfing,36
1783,21-Apr-2003,2003,USA,M,Survived,N,surfing,17
1784,20-Apr-2003,2003,USA,M,Left foot bitten,N,surfing,30
1785,20-Apr-2003,2003,USA,M,Small lacerations to foot,N,surfing,23
1786,20-Apr-2003,2003,USA,M,Left ankle bitten or right foot,N,surfing,18
1787,19-Apr-2003,2003,USA,M,Left foot bitten,N,jumping,11
1788,18-Apr-2003,2003,USA,M,2 lacerations on left thigh,N,surfing,12
1789,15-Apr-2003,2003,USA,M,Left calf lacerated,N,swimming,20
1790,11-Apr-2003,2003,VENEZUELA,M,"Right foot bitten, left leg severed",N,surfing,28
1791,09-Apr-2003,2003,USA,M,Arm lacerated,N,surfing,0
1792,04-Apr-2003,2003,USA,M,Left hand and wrist bitten,N,surfing,50
1793,10-Mar-2003,2003,USA,F,Hand nipped PROVOKED INCIDENT,N,petting,0
1794,27-Feb-2003,2003,NEW ZEALAND,M,Arm lacerated (shark made 3 strikes),N,diving,44
1795,15-Feb-2003,2003,AUSTRALIA,M,Ankle lacerated,N,wading,37
1796,15-Feb-2003,2003,USA,M,Left hand bitten,N,swimming,54
1797,11-Feb-2003,2003,AUSTRALIA,M,"Puncture wounds on heel, legs and buttocks",N,swimming,24
1798,08-Feb-2003,2003,AUSTRALIA,M,FATAL,Y,swimming,84
1799,17-Jan-2003,2003,SOUTH AFRICA,M,Probable scavenging. The boy disappeared while at the beach on January 1st. His decomposed shark-bitten body washed ashore January 17th,0,0,14
1800,03-Jan-2003,2003,COSTA RICA,M,Lower right leg lacerated,N,surfing,0
1801,02-Jan-2003,2003,AUSTRALIA,F,"No injury, but her surfboard was bitten",N,surfing,0
1802,29-Dec-2002,2002,AUSTRALIA,F,Left arm lacerated,N,snorkeling,18
1803,24-Dec-2002,2002,SOUTH AFRICA,M,Forearms lacerated,N,snorkeling,25
1804,21-Dec-2002,2002,AUSTRALIA,M,Groin bitten,N,diving,26
1805,20-Dec-2002,2002,AUSTRALIA,M,Foot lacerated,0,swimming,11
1806,16-Dec-2002,2002,AUSTRALIA,M,FATAL,Y,swimming,23
1807,01-Dec-2002,2002,BRAZIL,M,FATAL,Y,surfing,19
1808,28-Nov-2002,2002,MICRONESIA,M,Minor injury to right calf,N,diving,0
1809,28-Nov-2002,2002,USA,M,Both legs severely lacerated,N,boarding,48
1810,17-Nov-2002,2002,USA,F,Right shoulder forarm & wrist bitten,N,swimming,34
1811,14-Nov-2002,2002,TURKS & CAICOS,F,"Right upper am, shoulder & back severely  bitten",N,snorkeling,41
1812,11-Nov-2002,2002,USA,M,1.5-inch laceration,N,surfing,21
1813,02-Nov-2002,2002,USA,M,Puncture wounds on right foot,N,boarding,16
1814,Nov-2002,2002,FRENCH POLYNESIA,M,Shin bruised,N,fishing,52
1815,30-Oct-2002,2002,USA,F,Left foot bitten ,N,swimming,60
1816,14-Oct-2002,2002,BRAZIL,M,"FATAL, body not recovered",Y,swimming,36
1817,11-Oct-2002,2002,USA,M,Left foot bitten,N,surfing,21
1818,05-Oct-2002,2002,USA,M,Abrasions on right hand & deep laceration on middle finger,N,surfing,14
1819,05-Oct-2002,2002,USA,M,Heel & back of right knee lacerated,N,surfing,35
1820,03-Oct-2002,2002,USA,M,Left hand lacerated and abraded,N,surfing,18
1821,30-Sep-2002,2002,USA,M,Right hand severely lacerated,N,surfing,47
1822,29-Sep-2002,2002,USA,M,Left hand bitten,N,surfing,32
1823,27-Sep-2002,2002,USA,M,"No injury, surfboard bitten ",N,fishing,55
1824,27-Sep-2002,2002,USA,M,Left thumb lacerated PROVOKED INCIDENT,N,fishing,0
1825,27-Sep-2002,2002,TONGA,M,Thigh lacerated  PROVOKED INCIDENT,N,swimming,0
1826,21-Sep-2002,2002,USA,M, Ankle lacerated,N,boarding,24
1827,21-Sep-2002,2002,USA,M,No injury,N,surfing,35
1828,16-Sep-2002,2002,BRAZIL,M,"Left thigh bitten, leg surgically amputated",N,swimming,19
1829,16-Sep-2002,2002,USA,0,"No injury, shark fin seen just before board ripped away & dragged out to sea",N,boarding,0
1830,13-Sep-2002,2002,SOUTH AFRICA,M,No injury,N,skiing,47
1831,09-Sep-2002,2002,USA,M,Bitten above & below right knee,N,boarding,20
1832,05-Sep-2002,2002,USA,M,2 small puncture wounds on left foot PROVOKED INCIDENT,N,wading,36
1833,28-Aug-2002,2002,USA,M,Left foot lacerated ,N,surfing,16
1834,17-Aug-2002,2002,USA,F,Both arms & leg bitten,N,swimming,29
1835,14-Aug-2002,2002,USA,M,Big toe bitten,N,surfing,27
1836,11-Aug-2002,2002,USA,M,Lacerations on heel & dorsum of right foot,N,surfing,15
1837,07-Aug-2002,2002,USA,M,Ankle & leg lacerated,N,standing,15
1838,Reported 06-Aug-2002,2002,UNITED KINGDOM,M,Hand bitten by captive shark PROVOKED INCIDENT,N,diving,30
1839,05-Aug-2002,2002,USA,M,Leg lacerated,N,standing,14
1840,26-Jul-2002,2002,USA,M,Heel bitten,N,surfing,13
1841,20-Jul-2002,2002,USA,F,Calf bitten,N,swimming,15
1842,10-Jul-2002,2002,USA,M,2 small lacerations on left lower leg when he jumped off board and landed on the shark PROVOKED INCIDENT,N,surfing,19
1843,09-Jul-2002,2002,USA,M,Drowned when caught in line and pulled overboard by hooked shark PROVOKED INCIDENT,Y,fishing,41
1844,10-Jul-2002,2002,BRAZIL,M,Right hand severed,N,surfing,22
1845,04-Jul-2002,2002,USA,F,"Calf, foot & hand bitten",N,standing,0
1846,20-Jun-2002,2002,AUSTRALIA,M,minor injury to foot,N,surfing,30
1847,20-Jun-2002,2002,USA,F,Small lacerations on right lower leg,N,swimming,11
1848,16-Jun-2002,2002,INDONESIA,0,Human remains (right forearm & leg) recovered from 3.7m [12'] tiger sharks gut. Forensic examination suggested the remains had been consumed by the shark one to two weeks earlier,0,0,0
1849,Reported 13-Jun-2002,2002,PAPUA NEW GUINEA,0,"Arm severely lacerated, surgically amputated",N,0,0
1850,Reported 13-Jun-2002,2002,PAPUA NEW GUINEA,0,FATAL,Y,attempting,0
1851,11-Jun-2002,2002,USA,0,"No injury, shark bit side of surfboard",N,sitting,0
1852,10-Jun-2002,2002,USA,M,Right hand lacerated,N,surfing,28
1853,09-Jun-2002,2002,USA,M,6-inch gash on right foot,N,surfing,50
1854,09-Jun-2002,2002,USA,M,Right calf lacerated,N,swimming,10
1855,03-Jun-2002,2002,SOUTH AFRICA,M,Upper arm bitten,N,snorkeling,50
1856,31-May-2002,2002,USA,M,Lacerated leg & back,N,surfing,24
1857,31-May-2002,2002,USA,M,Lacerated foot,N,floating,16
1858,22-May-2002,2002,USA,M,Leg bitten by hooked shark PROVOKED INCIDENT,N,fishing,55
1859,22-May-2002,2002,USA,M,"2-inch wound on dorsum of right foot, 1-inch wound on sole",N,playing,35
1860,Reported 21-May-2002,2002,COSTA RICA,M,Toothmarks in board & his swim trunks,N,surfing,0
1861,21-May-2002,2002,PAPUA NEW GUINEA,M,Wrist lacerated,N,collecting,14
